80 runs: 6x13 hex, spans 8/16/32/51, 20 reps
  6x13    hex  span=  8 rep1 exact=True  cer=0.000 6s
  6x13    hex  span=  8 rep2 exact=True  cer=0.000 8s
  6x13    hex  span=  8 rep3 exact=True  cer=0.000 7s
  6x13    hex  span=  8 rep4 exact=True  cer=0.000 6s
  6x13    hex  span=  8 rep5 exact=True  cer=0.000 6s
  6x13    hex  span=  8 rep6 exact=True  cer=0.000 6s
  6x13    hex  span=  8 rep7 exact=False cer=0.125 7s
  6x13    hex  span=  8 rep8 exact=True  cer=0.000 6s
  6x13    hex  span=  8 rep10 exact=True  cer=0.000 6s
  6x13    hex  span=  8 rep9 exact=True  cer=0.000 9s
  6x13    hex  span=  8 rep11 exact=False cer=0.111 6s
  6x13    hex  span=  8 rep12 exact=False cer=0.111 6s
  6x13    hex  span=  8 rep13 exact=True  cer=0.000 6s
  6x13    hex  span=  8 rep14 exact=True  cer=0.000 6s
  6x13    hex  span=  8 rep15 exact=False cer=0.125 8s
  6x13    hex  span=  8 rep16 exact=True  cer=0.000 7s
  6x13    hex  span=  8 rep17 exact=True  cer=0.000 6s
  6x13    hex  span=  8 rep18 exact=False cer=0.125 6s
  6x13    hex  span=  8 rep20 exact=False cer=0.111 6s
  6x13    hex  span=  8 rep19 exact=True  cer=0.000 9s
  6x13    hex  span= 16 rep1 exact=False cer=0.059 7s
  6x13    hex  span= 16 rep2 exact=True  cer=0.000 8s
  6x13    hex  span= 16 rep3 exact=True  cer=0.000 6s
  6x13    hex  span= 16 rep4 exact=True  cer=0.000 10s
  6x13    hex  span= 16 rep5 exact=True  cer=0.000 9s
  6x13    hex  span= 16 rep6 exact=False cer=0.125 10s
  6x13    hex  span= 16 rep7 exact=False cer=0.125 7s
  6x13    hex  span= 16 rep8 exact=True  cer=0.000 8s
  6x13    hex  span= 16 rep9 exact=True  cer=0.000 10s
  6x13    hex  span= 16 rep10 exact=True  cer=0.000 8s
  6x13    hex  span= 16 rep11 exact=False cer=0.059 8s
  6x13    hex  span= 16 rep12 exact=False cer=0.125 7s
  6x13    hex  span= 16 rep13 exact=True  cer=0.000 7s
  6x13    hex  span= 16 rep14 exact=True  cer=0.000 8s
  6x13    hex  span= 16 rep15 exact=True  cer=0.000 7s
  6x13    hex  span= 16 rep16 exact=True  cer=0.000 8s
  6x13    hex  span= 16 rep17 exact=True  cer=0.000 7s
  6x13    hex  span= 16 rep18 exact=False cer=0.118 8s
  6x13    hex  span= 16 rep19 exact=True  cer=0.000 9s
  6x13    hex  span= 16 rep20 exact=True  cer=0.000 8s
  6x13    hex  span= 32 rep1 exact=True  cer=0.000 10s
  6x13    hex  span= 32 rep2 exact=True  cer=0.000 11s
  6x13    hex  span= 32 rep3 exact=True  cer=0.000 11s
  6x13    hex  span= 32 rep4 exact=False cer=0.030 9s
  6x13    hex  span= 32 rep5 exact=False cer=0.031 9s
  6x13    hex  span= 32 rep6 exact=False cer=0.179 6s
  6x13    hex  span= 32 rep8 exact=False cer=0.030 10s
  6x13    hex  span= 32 rep7 exact=False cer=0.061 11s
  6x13    hex  span= 32 rep10 exact=False cer=0.179 7s
  6x13    hex  span= 32 rep9 exact=False cer=0.031 9s
  6x13    hex  span= 32 rep12 exact=False cer=0.031 9s
  6x13    hex  span= 32 rep11 exact=False cer=0.062 11s
  6x13    hex  span= 32 rep14 exact=False cer=0.030 8s
  6x13    hex  span= 32 rep13 exact=True  cer=0.000 12s
  6x13    hex  span= 32 rep15 exact=False cer=0.031 12s
  6x13    hex  span= 32 rep16 exact=False cer=0.031 9s
  6x13    hex  span= 32 rep18 exact=False cer=0.205 6s
  6x13    hex  span= 32 rep17 exact=False cer=0.030 9s
  6x13    hex  span= 32 rep19 exact=False cer=0.031 9s
  6x13    hex  span= 32 rep20 exact=False cer=0.031 11s
  6x13    hex  span= 51 rep1 exact=True  cer=0.000 11s
  6x13    hex  span= 51 rep2 exact=True  cer=0.000 10s
  6x13    hex  span= 51 rep3 exact=False cer=0.020 14s
  6x13    hex  span= 51 rep4 exact=False cer=0.020 13s
  6x13    hex  span= 51 rep5 exact=False cer=0.038 13s
  6x13    hex  span= 51 rep6 exact=True  cer=0.000 13s
  6x13    hex  span= 51 rep8 exact=False cer=0.039 10s
  6x13    hex  span= 51 rep7 exact=False cer=0.039 22s
  6x13    hex  span= 51 rep9 exact=False cer=0.020 18s
  6x13    hex  span= 51 rep10 exact=True  cer=0.000 9s
  6x13    hex  span= 51 rep12 exact=True  cer=0.000 9s
  6x13    hex  span= 51 rep11 exact=False cer=0.235 14s
  6x13    hex  span= 51 rep13 exact=True  cer=0.000 13s
  6x13    hex  span= 51 rep14 exact=True  cer=0.000 10s
  6x13    hex  span= 51 rep15 exact=True  cer=0.000 8s
  6x13    hex  span= 51 rep16 exact=True  cer=0.000 15s
  6x13    hex  span= 51 rep17 exact=True  cer=0.000 10s
  6x13    hex  span= 51 rep18 exact=False cer=0.039 9s
  6x13    hex  span= 51 rep19 exact=True  cer=0.000 10s
  6x13    hex  span= 51 rep20 exact=True  cer=0.000 15s

span  literal  prefix  overlong  mean CER
   8     14/20    17/20       3   0.035
  16     14/20    16/20       3   0.031
  32      4/20    10/20       8   0.051
  51     12/20    12/20       1   0.023
